Parent ID,Parent Cycle,Child ID,Child Cycle
2007 27_0099 E2,2007,2011 27_0099 E2,2011
2007 27_0103 E2_1,2007,2011 27_0103 E2_1,2011
2007 27_0108 E2_1,2007,2011 27_0108 E2_1,2011
2007 31_0068 E2_1,2007,2011 31_0068 E2_1,2011
2018 25_0049 110,2018,2019 25_0049 110,2019
2019 27_0051 204,2019,2020 27_0051 204,2020
2020_CLASS3_08_3_346,2020,2020_CLASS3_08_3_346_2021,2021
2020 21_0078 129,2020,2021 21_0078 129,2021
2019 04_0001 340,2019,2020 04_0001 340,2020
2020_CLASS3_08_1_346_S,2020,2020_CLASS3_08_1_346_S_2021,2021
2020_CLASS3_08_1_347,2020,2020_CLASS3_08_1_347_2021,2021
2020_CLASS3_08_1_348,2020,2020_CLASS3_08_1_348_2021,2021
2017 21_0003 216_S,2017,2018 21_0003 216_S,2018
2017 11_1003 423,2017,2018 11_0089 423,2018
2020_CLASS3_08_10_346_S,2020,2020_CLASS3_08_10_346_S_2021,2021
2020_CLASS3_08_11_346_S,2020,2020_CLASS3_08_11_346_S_2021,2021
2020_CLASS3_08_12_346_S,2020,2020_CLASS3_08_12_346_S_2021,2021
2020_CLASS3_08_13_346_S,2020,2020_CLASS3_08_13_346_S_2021,2021
2018 27_0116 74,2018,2019 27_0116 74,2019
2020_CLASS3_08_16_346_S,2020,2020_CLASS3_08_16_346_S_2021,2021
2020_CLASS3_08_17_346_S,2020,2020_CLASS3_08_17_346_S_2021,2021
2020_CLASS3_08_18_346_S,2020,2020_CLASS3_08_18_346_S_2021,2021
2017 01_0012 364_LR,2017,2018 01_0012 364_LR,2018
2020_CLASS3_08_19_346_S,2020,2020_CLASS3_08_19_346_S_2021,2021
2019 23_0051 2_L3,2019,2020 23_0051 2_L3,2020
2020_CLASS3_08_2_347,2020,2020_CLASS3_08_2_347_2021,2021
2020_CLASS3_08_2_348_S,2020,2020_CLASS3_08_2_348_S_2021,2021
2017 23_0023 87_S2,2017,2018 23_0023 87_S2,2018
2020_CLASS3_08_20_346_S,2020,2020_CLASS3_08_20_346_S_2021,2021
2021_HCA_26_0087_243_S,2022,2021_HCA_26_0087_243_S,2023
2020_CLASS3_08_3_347,2020,2020_CLASS3_08_3_347_2021,2021
2020 24_0110 150,2020,2021 24_0110 150,2021
2020_710_23_0004_434_LR1,2022,2020_710_23_0004_434_LR1,2023
2017 31_0184 208_L,2017,2020 31_0184 208_L,2020
2020_CLASS3_08_5_346,2020,2020_CLASS3_08_5_346_2021,2021
2018 24_0042 204,2018,2019 24_0091 204,2019
2012 02_0003 Aa,2012,2014 02_0002 200_1,2014
2012 02_0003 Aa,2012,2014 02_0002 200_2,2014
2012 02_0009 Ac_1,2012,2014 02_0005 200,2014
2017 10_0061 281,2017,2018 10_0061 281,2018
2012 02_0009 Ac_2,2012,2014 02_0005 200,2014
2018 24_0103 204,2018,2019 24_0103 204,2019
2017 11_0037 294,2017,2018 11_0037 294,2018
2014 27_0117 93,2014,2015 27_0117 93,2015
2016 27_0051 204,2016,2017 27_0051 204,2017
2017 11_1001 294,2017,2018 11_0094 294,2018
2017 31_0259 214,2017,2018 31_0259 214,2018
2017 31_0089 208_L,2017,2018 31_0089 208_L,2018
2017 26_1001 110,2017,2018 26_0082 110,2018
2017 26_0056 171,2017,2020 26_0056 171,2020
2017 26_0056 171,2017,2018 26_0095 171,2018
2017 26_0056 171,2017,2018 26_0093 171,2018
2017 26_0056 171,2017,2018 26_0094 171,2018
2017 22_0025 1,2017,2018 22_0025 1,2018
2017 31_0252 208,2017,2018 31_0252 208,2018
2016 31_0005 208_L2,2016,2017 31_0005 208_S,2017
2017 27_0225 204,2017,2018 27_0225 204,2018
2020_CLASS3_08_3_348_S,2020,2020_CLASS3_08_3_348_S_2021,2021
2017 26_0012 395_1,2017,2018 26_0012 395_1,2018
2020_CLASS3_08_4_346,2020,2020_CLASS3_08_4_346_2021,2021
2020_CLASS3_08_4_347_S,2020,2020_CLASS3_08_4_347_S_2021,2021
2017 31_0248 208,2017,2018 31_0248 208,2018
2021_710_24_0001_9,2022,2021_710_24_0001_9,2023
2017 10_0072 281,2017,2018 10_0072 281,2018
2017 26_0080 110,2017,2018 26_0080 110,2018
2020_CLASS3_08_4_348_L,2020,2020_CLASS3_08_4_348_L_2021,2021
2020_710_01_0006_370_L7,2022,2020_710_01_0006_370_L7,2023
2017 31_0257 210,2017,2018 31_0284 210,2018
2020_CLASS3_08_5_347_S,2020,2020_CLASS3_08_5_347_S_2021,2021
2017 21_1001 170,2017,2018 21_0097 170,2018
2020_CLASS3_08_5_348_S,2020,2020_CLASS3_08_5_348_S_2021,2021
2017 25_1001 110,2017,2018 25_0173 110,2018
2020_CLASS3_08_6_346,2020,2020_CLASS3_08_6_346_2021,2021
2017 27_0223 204,2017,2018 27_0223 204,2018
2017 24_0013 99_L3,2017,2018 24_0013 99_L3,2018
2017 26_0080 110_L,2017,2018 26_0080 110_L,2018
2017 27_0220 121,2017,2018 27_0220 121,2018
2016 26_0010 110_L,2016,2017 26_0010 110_L,2017
2017 27_0224 204,2017,2018 27_0224 204,2018
2017 31_0240 210_L1,2017,2018 31_0240 210_L1,2018
2017 07_0001C,2017,2018 07_0089 378,2018
2017 07_0001C,2017,2018 07_0090 378,2018
2017 07_0001C,2017,2018 07_0091 378,2018
2019 25_0085 204,2019,2020 25_0085 204,2020
2018 26_0072 204,2018,2019 26_0072 204,2019
2019 01_0007 364_S,2019,2020 01_0007 364_S,2020
2017 31_0198 208,2017,2018 31_0198 208,2018
2017 26_0072 204,2017,2018 26_0072 204,2018
2017 24_0072 175,2017,2018 24_0072 175,2018
2017 23_0067 175,2017,2018 23_0067 175,2018
